Distance_(mm),Gray_Value
25.1017,63.0806
25.1537,63.2097
25.2058,63.3710
25.2579,63.3871
25.3100,63.4677
25.3620,63.1290
25.4141,63.4355
25.4662,63.4839
25.5183,63.7742
25.5704,63.4677
25.6224,63.4355
25.6745,63.5968
25.7266,63.5484
25.7787,63.6936
25.8307,63.7258
25.8828,64.0000
25.9349,64.0968
25.9870,64.4355
26.0391,64.9194
26.0911,64.8387
26.1432,64.7097
26.1953,64.8064
26.2474,64.8710
26.2995,65.2097
26.3515,65.2258
26.4036,65.5161
26.4557,64.9677
26.5078,65.8064
26.5598,66.1774
26.6119,66.6129
26.6640,66.8064
26.7161,67.1774
26.7682,67.6452
26.8202,67.3387
26.8723,67.7903
26.9244,68.5323
26.9765,68.6774
27.0285,69.1774
27.0806,69.3387
27.1327,69.4839
27.1848,69.9839
27.2369,69.7903
27.2889,70.1290
27.3410,69.9355
27.3931,70.1613
27.4452,70.1774
27.4972,70.1774
27.5493,70.5000
27.6014,70.5806
27.6535,70.4677
27.7056,71.0484
27.7576,70.9839
27.8097,70.6774
27.8618,70.7097
27.9139,70.4194
27.9660,70.8064
28.0180,70.8871
28.0701,71.3064
28.1222,71.3226
28.1743,71.0323
28.2263,71.3064
28.2784,71.0323
28.3305,71.1936
28.3826,71.5323
28.4347,71.9839
28.4867,72.2581
28.5388,72.0161
28.5909,72.4516
28.6430,72.6290
28.6950,72.8064
28.7471,72.5323
28.7992,72.8710
28.8513,72.8226
28.9034,72.4355
28.9554,72.2258
29.0075,72.2581
29.0596,72.6290
29.1117,72.8226
29.1637,72.8064
29.2158,73.2258
29.2679,73.2903
29.3200,73.4032
29.3721,73.5323
29.4241,73.7097
29.4762,73.7419
29.5283,73.9677
29.5804,73.7097
29.6325,73.6452
29.6845,73.7742
29.7366,74.4516
29.7887,74.5968
29.8408,74.4839
29.8928,74.4355
29.9449,74.5806
29.9970,74.6129
30.0491,74.7097
30.1012,74.7097
30.1532,74.7097
30.2053,74.5484
30.2574,74.3710
30.3095,74.3226
30.3615,74.6290
30.4136,74.4194
30.4657,74.3387
30.5178,74.4355
30.5699,74.7419
30.6219,74.6452
30.6740,74.0968
30.7261,74.4839
30.7782,74.7097
30.8302,74.4516
30.8823,74.6290
30.9344,74.9194
30.9865,74.8710
31.0386,75.0323
31.0906,75.1452
31.1427,74.9839
31.1948,75.3871
31.2469,75.3064
31.2990,75.5645
31.3510,75.5323
31.4031,75.1613
31.4552,74.9355
31.5073,75.1290
31.5593,74.9194
31.6114,74.6613
31.6635,75.0000
31.7156,75.1129
31.7677,75.4677
31.8197,75.1613
31.8718,75.5484
31.9239,75.9194
31.9760,76.4032
32.0280,76.4194
32.0801,76.5000
32.1322,77.3387
32.1843,77.5645
32.2364,77.7419
32.2884,77.8064
32.3405,77.9516
32.3926,78.5161
32.4447,78.4032
32.4967,78.9194
32.5488,78.6290
32.6009,78.3064
32.6530,78.5161
32.7051,78.1936
32.7571,78.3226
32.8092,78.2097
32.8613,78.4194
32.9134,78.3710
32.9655,78.8548
33.0175,78.5000
33.0696,78.2742
33.1217,78.4032
33.1738,78.5161
33.2258,79.2097
33.2779,79.3226
33.3300,79.4677
33.3821,78.7742
33.4342,78.0323
33.4862,78.2097
33.5383,77.5806
33.5904,77.3710
33.6425,76.5000
33.6945,76.3871
33.7466,76.0323
33.7987,76.2742
33.8508,76.2581
33.9029,76.1290
33.9549,76.5968
34.0070,76.4516
34.0591,76.4839
34.1112,76.5161
34.1632,75.7742
34.2153,75.7903
34.2674,75.8710
34.3195,76.1452
34.3716,76.2258
34.4236,76.0806
34.4757,76.0484
34.5278,76.5806
34.5799,76.5484
34.6320,76.3548
34.6840,76.5000
34.7361,76.9194
34.7882,76.7258
34.8403,76.9194
34.8923,76.8226
34.9444,76.7742
34.9965,77.2903
35.0486,77.6452
35.1007,77.9516
35.1527,78.2581
35.2048,78.1129
35.2569,77.8226
35.3090,77.5161
35.3610,77.0323
35.4131,77.2419
35.4652,77.0000
35.5173,76.6129
35.5694,76.0161
35.6214,76.1290
35.6735,76.3548
35.7256,76.6774
35.7777,76.1774
35.8298,75.9516
35.8818,75.5484
35.9339,74.9355
35.9860,74.9032
36.0381,75.0645
36.0901,74.5484
36.1422,74.0484
36.1943,73.5000
36.2464,73.3710
36.2985,73.5161
36.3505,73.2742
36.4026,72.6774
36.4547,72.6936
36.5068,73.0968
36.5588,72.4194
36.6109,72.4355
36.6630,72.4677
36.7151,72.4355
36.7672,72.1613
36.8192,72.3871
36.8713,72.5484
36.9234,72.8226
36.9755,72.4516
37.0275,71.9839
37.0796,71.7742
37.1317,72.0484
37.1838,71.8710
37.2359,71.5161
37.2879,71.5161
37.3400,71.6613
37.3921,71.5161
37.4442,71.8387
37.4963,71.3064
37.5483,71.5806
37.6004,71.5968
37.6525,71.6936
37.7046,71.0000
37.7566,71.3548
37.8087,71.5645
37.8608,71.6774
37.9129,71.0645
37.9650,71.2419
38.0170,70.8387
38.0691,70.9516
38.1212,71.0323
38.1733,70.8871
38.2253,70.5806
38.2774,70.4032
38.3295,70.5323
38.3816,70.4355
38.4337,70.2903
38.4857,70.3548
