Distance_(mm),Gray_Value
52.9114,21.7615
52.9635,21.9174
53.0155,21.8807
53.0676,21.9817
53.1197,22.1009
53.1718,22.1743
53.2238,22.2569
53.2759,22.4128
53.3280,22.4404
53.3801,22.2844
53.4322,22.3394
53.4842,22.3486
53.5363,22.1927
53.5884,22.2110
53.6405,22.1284
53.6925,22.1284
53.7446,21.9725
53.7967,22.0642
53.8488,21.9633
53.9009,22.0275
53.9529,22.1376
54.0050,22.1193
54.0571,22.1743
54.1092,22.3394
54.1613,22.2752
54.2133,22.4220
54.2654,22.3303
54.3175,22.3028
54.3696,22.3670
54.4216,22.5046
54.4737,22.5596
54.5258,22.4679
54.5779,22.4587
54.6300,22.5963
54.6820,22.6330
54.7341,22.6239
54.7862,22.7523
54.8383,22.6147
54.8903,22.6330
54.9424,22.6422
54.9945,22.6972
55.0466,22.8440
55.0987,22.9633
55.1507,22.9908
55.2028,23.0275
55.2549,22.9633
55.3070,23.0275
55.3590,22.9817
55.4111,22.8532
55.4632,22.8349
55.5153,22.8440
55.5674,22.6239
55.6194,22.6881
55.6715,22.7706
55.7236,22.7890
55.7757,22.9174
55.8278,22.7982
55.8798,22.7982
55.9319,22.7706
55.9840,22.8165
56.0361,22.6881
56.0881,22.4312
56.1402,22.3761
56.1923,22.2752
56.2444,22.1468
56.2965,22.0734
56.3485,22.0459
56.4006,22.1468
56.4527,22.0826
56.5048,22.0183
56.5568,21.8716
56.6089,21.9358
56.6610,21.7523
56.7131,21.7798
56.7652,21.6697
56.8172,21.6055
56.8693,21.5596
56.9214,21.6514
56.9735,21.6881
57.0255,21.6147
57.0776,21.5505
57.1297,21.4954
57.1818,21.3761
57.2339,21.2936
57.2859,21.2018
57.3380,21.2661
57.3901,21.2385
57.4422,21.2569
57.4943,21.1376
57.5463,21.1101
57.5984,21.1376
57.6505,21.1101
57.7026,21.1284
57.7546,21.0917
57.8067,21.2110
57.8588,21.1284
57.9109,21.1009
57.9630,21.0917
58.0150,21.1651
58.0671,21.1651
58.1192,21.2294
58.1713,21.2110
58.2233,21.1468
58.2754,21.1560
58.3275,21.1835
58.3796,21.1743
58.4317,21.1468
58.4837,21.1468
58.5358,21.1376
58.5879,21.1009
58.6400,21.0550
58.6920,21.0826
58.7441,21.1651
58.7962,20.9633
58.8483,21.1193
58.9004,21.1193
58.9524,21.1743
59.0045,21.0092
59.0566,20.9725
59.1087,20.9358
59.1608,20.8349
59.2128,20.7706
59.2649,20.7339
59.3170,20.7706
59.3691,20.7706
59.4211,20.6606
59.4732,20.7706
59.5253,20.6697
59.5774,20.5505
59.6295,20.4404
59.6815,20.4771
59.7336,20.3578
59.7857,20.3119
59.8378,20.3211
59.8898,20.1743
59.9419,20.1835
59.9940,20.2385
60.0461,20.1743
60.0982,20.0642
60.1502,20.0183
60.2023,19.9266
60.2544,19.8532
60.3065,19.7615
60.3585,19.6514
60.4106,19.5413
60.4627,19.5505
60.5148,19.4862
60.5669,19.5138
60.6189,19.4128
60.6710,19.4312
60.7231,19.4037
60.7752,19.3670
60.8273,19.3670
60.8793,19.2110
60.9314,19.0459
60.9835,18.9725
61.0356,18.8807
61.0876,18.9174
61.1397,18.9174
61.1918,18.9725
61.2439,19.0092
61.2960,18.9541
61.3480,18.9541
61.4001,18.9358
61.4522,18.9174
61.5043,18.8899
61.5563,18.8257
61.6084,18.8165
61.6605,18.7798
61.7126,18.7706
61.7647,18.7615
61.8167,18.7523
61.8688,18.7431
61.9209,18.6514
61.9730,18.6606
62.0250,18.6147
62.0771,18.5596
62.1292,18.5321
62.1813,18.5688
62.2334,18.5872
62.2854,18.6055
62.3375,18.5229
62.3896,18.5046
62.4417,18.4771
62.4938,18.3394
62.5458,18.2936
62.5979,18.2936
62.6500,18.2294
62.7021,18.2477
62.7541,18.2661
62.8062,18.2385
62.8583,18.1376
62.9104,18.1651
62.9625,18.0367
63.0145,18.0826
63.0666,18.0000
63.1187,17.9174
63.1708,17.8899
63.2228,17.7339
63.2749,17.8073
63.3270,17.8073
63.3791,17.8073
63.4312,17.8073
63.4832,17.8257
63.5353,17.7156
63.5874,17.7156
63.6395,17.5872
