Distance_(mm),Gray_Value
3.29358,77.9219
3.29878,78.0000
3.30398,78.2734
3.30919,78.6719
3.31439,78.7969
3.31959,79.5625
3.32480,78.5078
3.33000,79.1562
3.33520,79.6641
3.34041,80.5391
3.34561,81.0312
3.35081,81.9688
3.35602,82.5547
3.36122,82.5078
3.36642,82.8125
3.37162,83.5625
3.37683,83.7344
3.38203,84.0547
3.38723,84.0703
3.39244,85.0078
3.39764,85.0859
3.40284,84.8750
3.40805,84.5547
3.41325,84.4609
3.41845,85.2422
3.42366,84.7109
3.42886,84.5547
3.43406,84.9531
3.43927,84.2188
3.44447,84.4922
3.44967,84.5078
3.45487,84.5234
3.46008,84.2031
3.46528,83.8125
3.47048,83.7109
3.47569,83.6562
3.48089,83.5938
3.48609,83.2891
3.49130,83.3672
3.49650,83.1797
3.50170,82.5078
3.50691,82.7422
3.51211,82.3828
3.51731,81.8750
3.52252,81.9297
3.52772,81.4141
3.53292,81.2734
3.53813,80.7188
3.54333,79.8203
3.54853,79.8594
3.55373,79.4531
3.55894,78.6406
3.56414,78.0312
3.56934,77.3984
3.57455,76.5469
3.57975,76.2891
3.58495,75.3359
3.59016,74.7969
3.59536,73.4531
3.60056,72.7031
3.60577,71.4531
3.61097,70.8203
3.61617,70.3359
3.62138,70.2188
3.62658,69.8125
3.63178,69.9844
3.63698,69.2188
3.64219,69.2109
3.64739,69.2812
3.65259,69.0469
3.65780,69.4297
3.66300,69.8438
3.66820,70.1719
3.67341,69.6094
3.67861,70.4531
3.68381,70.4453
3.68902,70.8984
3.69422,70.5859
3.69942,70.2422
3.70462,69.6328
3.70983,69.7891
3.71503,69.5703
3.72023,68.7500
3.72544,68.2031
3.73064,67.1797
3.73584,66.6719
3.74105,65.7734
3.74625,65.2422
3.75145,64.1328
3.75666,63.4219
3.76186,62.4922
3.76706,61.5312
3.77227,59.9766
3.77747,59.3828
3.78267,58.2344
3.78787,57.4219
3.79308,56.3203
3.79828,55.9062
3.80348,55.4922
3.80869,54.8984
3.81389,53.8984
3.81909,53.1250
3.82430,51.8203
3.82950,51.1094
3.83470,50.2812
3.83991,49.4375
3.84511,48.1797
3.85031,47.9531
3.85552,46.9375
3.86072,46.1484
3.86592,45.3047
3.87112,44.8281
3.87633,43.7344
3.88153,42.8984
3.88673,41.5859
3.89194,40.8516
3.89714,40.5000
3.90234,40.0781
3.90755,39.2812
3.91275,38.4609
3.91795,37.6953
3.92316,36.5391
3.92836,36.1562
3.93356,35.7109
3.93877,34.9453
3.94397,34.3828
3.94917,33.5312
3.95438,33.0312
3.95958,32.5625
3.96478,31.6562
3.96998,31.1172
3.97519,30.7812
3.98039,30.3672
3.98559,29.6641
3.99080,29.0703
3.99600,28.4531
4.00120,28.2266
4.00641,27.5703
4.01161,27.0938
4.01681,26.7422
4.02202,26.3359
4.02722,25.8203
4.03242,25.3047
4.03762,25.0938
4.04283,24.8438
4.04803,24.3828
4.05323,24.1094
4.05844,23.7109
4.06364,23.5312
4.06884,23.2266
4.07405,22.9922
4.07925,22.7969
4.08445,22.7031
4.08966,22.3906
4.09486,22.1953
4.10006,21.9844
4.10527,21.7500
4.11047,21.6562
4.11567,21.5312
4.12087,21.4141
4.12608,21.3828
4.13128,21.1953
4.13648,21.0859
4.14169,21.0781
4.14689,21.0156
4.15209,20.9453
4.15730,20.8750
4.16250,20.8281
4.16770,20.8906
4.17291,20.8047
4.17811,20.8516
4.18331,20.8672
4.18852,20.9844
4.19372,21.0156
4.19892,21.1328
4.20412,21.1641
4.20933,21.2578
4.21453,21.3516
4.21973,21.6094
4.22494,21.6484
4.23014,21.8750
4.23534,22.0625
4.24055,22.2734
4.24575,22.5469
4.25095,22.6250
4.25616,22.9062
4.26136,23.2344
4.26656,23.5859
4.27177,23.9688
4.27697,24.3125
4.28217,24.6406
4.28737,24.8984
4.29258,25.3281
4.29778,25.7500
4.30298,26.0859
4.30819,26.5625
4.31339,27.0547
4.31859,27.3281
4.32380,27.7031
4.32900,28.1016
4.33420,28.6016
4.33941,28.9922
4.34461,29.5234
4.34981,30.0078
4.35502,30.3125
4.36022,30.8438
4.36542,31.2500
4.37063,31.7031
4.37583,32.0547
4.38103,32.4844
4.38623,32.8984
4.39144,33.5469
4.39664,33.6797
4.40184,34.2031
4.40705,34.4609
4.41225,35.1094
4.41745,35.3438
4.42266,35.8047
4.42786,36.5078
4.43306,37.2500
4.43827,37.4922
4.44347,37.8281
4.44867,38.2422
4.45388,39.1094
4.45908,39.4531
4.46428,40.3594
4.46948,40.9766
4.47469,41.4922
4.47989,42.4688
4.48509,43.2109
4.49030,44.0391
4.49550,44.8203
4.50070,45.3750
4.50591,46.4766
4.51111,47.0547
4.51631,47.8828
4.52152,49.1328
4.52672,49.8281
4.53192,50.5703
4.53713,51.8750
4.54233,52.6328
4.54753,53.5781
4.55273,54.6797
4.55794,54.9844
4.56314,56.1641
4.56834,56.7734
4.57355,57.7188
4.57875,58.2969
4.58395,58.9609
4.58916,59.6719
4.59436,59.9844
4.59956,60.9062
4.60477,61.2266
4.60997,61.6406
4.61517,62.0234
4.62038,62.9609
4.62558,63.2891
4.63078,63.4375
4.63598,63.8281
4.64119,63.8438
4.64639,63.7500
4.65159,64.0234
4.65680,64.3672
4.66200,64.9219
4.66720,64.7578
4.67241,64.9453
4.67761,64.8359
4.68281,65.3984
4.68802,65.4062
4.69322,65.7578
4.69842,65.7578
4.70363,65.9297
4.70883,66.3359
4.71403,66.4531
4.71923,65.9609
4.72444,66.4609
4.72964,66.9922
4.73484,67.3984
4.74005,67.2734
4.74525,68.1953
4.75045,68.2266
4.75566,68.0000
4.76086,69.0156
4.76606,69.0234
4.77127,69.6484
4.77647,70.2734
4.78167,70.4766
4.78687,70.8984
4.79208,70.8672
4.79728,71.4766
4.80248,71.4141
4.80769,72.2031
4.81289,72.6641
4.81809,73.1641
4.82330,73.4219
4.82850,73.4062
4.83370,73.4297
4.83891,73.7344
4.84411,73.6797
4.84931,73.7812
4.85452,73.7578
4.85972,74.4922
4.86492,74.4609
4.87012,74.5000
4.87533,74.4297
4.88053,74.1172
4.88573,74.1328
4.89094,74.5391
4.89614,74.5703
4.90134,74.7344
4.90655,74.0781
4.91175,73.2578
4.91695,72.8203
4.92216,72.9531
4.92736,72.6641
4.93256,72.3984
4.93777,71.7031
4.94297,71.3984
4.94817,71.0391
4.95337,70.6484
4.95858,69.9922
4.96378,69.5234
4.96898,68.6875
4.97419,68.5469
4.97939,67.8828
4.98459,67.1797
4.98980,66.6719
4.99500,66.2812
5.00020,66.0469
5.00541,65.3359
5.01061,65.1719
5.01581,64.8906
5.02102,64.3516
5.02622,63.9609
5.03142,62.5156
5.03662,62.7109
5.04183,61.6094
5.04703,61.4688
5.05223,60.6562
5.05744,59.9453
5.06264,59.7578
5.06784,59.1953
5.07305,58.5156
5.07825,58.3984
5.08345,58.2344
5.08866,57.4531
5.09386,56.8984
5.09906,56.7188
5.10427,55.9609
5.10947,55.8828
5.11467,55.4844
5.11987,54.9844
5.12508,53.7734
5.13028,53.8359
5.13548,53.3594
5.14069,52.7500
5.14589,52.0703
5.15109,51.4609
5.15630,50.8984
5.16150,50.5859
5.16670,49.8594
5.17191,49.0312
5.17711,48.4844
5.18231,47.9297
5.18752,47.3594
5.19272,46.9844
5.19792,46.0234
5.20312,45.8672
5.20833,45.0078
5.21353,44.8125
5.21873,43.9453
5.22394,43.2812
5.22914,42.5078
5.23434,41.9141
5.23955,41.4688
5.24475,40.8828
5.24995,39.9531
5.25516,39.6016
5.26036,38.9297
5.26556,38.4609
5.27077,37.4375
5.27597,36.8438
5.28117,36.1875
5.28638,35.6172
5.29158,34.8281
5.29678,34.3203
5.30198,33.7422
5.30719,33.3672
5.31239,32.5859
5.31759,32.1719
5.32280,31.8672
5.32800,31.2656
5.33320,30.5938
5.33841,30.2266
5.34361,29.6016
5.34881,29.1484
5.35402,28.6562
5.35922,28.1641
5.36442,27.5000
5.36963,27.1875
5.37483,26.8203
5.38003,26.2969
5.38523,25.9766
5.39044,25.5625
5.39564,25.0859
5.40084,24.8125
5.40605,24.6641
5.41125,24.2734
5.41645,23.8984
5.42166,23.6094
5.42686,23.3047
5.43206,23.0547
5.43727,22.8047
5.44247,22.5312
5.44767,22.2812
5.45288,22.1719
5.45808,21.9453
5.46328,21.6250
5.46848,21.4688
5.47369,21.3516
5.47889,21.0938
5.48409,20.9375
5.48930,20.8281
5.49450,20.7500
5.49970,20.5547
5.50491,20.4922
5.51011,20.4297
5.51531,20.3516
5.52052,20.1797
5.52572,20.0859
5.53092,20.0312
5.53613,19.8984
5.54133,20.0312
5.54653,19.9219
5.55173,19.8438
5.55694,19.8672
5.56214,19.8047
5.56734,19.8047
5.57255,19.8203
5.57775,19.8672
5.58295,19.8672
5.58816,19.8828
5.59336,20.0625
5.59856,20.1094
5.60377,20.1406
5.60897,20.2578
5.61417,20.3359
5.61938,20.3984
5.62458,20.4922
5.62978,20.6250
5.63498,20.7344
5.64019,20.8516
5.64539,21.1016
5.65059,21.1875
5.65580,21.3672
5.66100,21.5625
5.66620,21.6953
5.67141,21.8125
5.67661,22.1016
5.68181,22.3516
5.68702,22.4141
5.69222,22.6562
5.69742,22.8359
5.70262,23.0469
5.70783,23.2969
5.71303,23.5781
5.71823,23.7500
5.72344,23.8906
5.72864,24.2031
5.73384,24.3203
5.73905,24.6172
5.74425,24.9297
5.74945,25.1797
5.75466,25.5234
5.75986,25.7031
5.76506,26.0781
5.77027,26.2109
5.77547,26.6562
5.78067,26.8906
5.78587,27.1719
5.79108,27.5312
5.79628,27.6797
5.80148,28.1406
5.80669,28.5312
5.81189,28.7734
5.81709,29.1172
5.82230,29.5703
5.82750,30.0000
5.83270,30.3672
5.83791,30.7422
5.84311,31.2891
5.84831,31.8750
5.85352,32.1953
5.85872,32.6719
5.86392,33.2266
5.86912,33.4141
5.87433,33.6719
5.87953,34.2266
5.88473,34.7422
5.88994,35.0312
5.89514,35.4453
5.90034,35.7969
5.90555,36.2031
5.91075,36.7422
5.91595,37.0781
5.92116,37.2812
5.92636,37.6797
5.93156,37.8281
5.93677,38.0547
5.94197,38.2578
5.94717,38.4688
5.95237,38.6328
5.95758,39.0859
5.96278,39.2578
5.96798,39.4688
5.97319,39.6641
5.97839,39.9219
5.98359,40.0859
5.98880,40.1250
5.99400,40.2734
5.99920,40.1406
6.00441,40.2031
6.00961,40.5078
6.01481,40.5156
6.02002,40.6016
6.02522,40.7188
6.03042,40.7812
6.03562,40.8125
6.04083,40.6719
6.04603,40.6016
6.05123,40.7188
6.05644,40.7500
6.06164,40.6562
6.06684,40.7734
6.07205,40.7891
6.07725,40.7969
6.08245,40.8047
6.08766,40.7266
6.09286,40.9297
6.09806,41.1484
6.10327,41.2578
6.10847,41.6250
6.11367,41.3594
6.11888,41.7266
6.12408,41.8516
6.12928,41.7969
6.13448,41.9922
6.13969,42.2578
6.14489,42.5469
6.15009,42.7734
6.15530,42.8203
6.16050,43.1641
6.16570,43.5078
6.17091,43.5625
6.17611,43.5391
6.18131,43.6641
6.18652,44.0469
6.19172,44.2656
6.19692,44.2812
6.20213,44.2891
6.20733,44.2031
6.21253,44.4297
6.21773,44.4141
6.22294,44.8672
6.22814,44.7188
6.23334,44.8047
6.23855,44.7578
6.24375,44.7188
6.24895,44.5078
6.25416,44.6562
6.25936,43.9531
6.26456,43.8516
6.26977,43.8594
6.27497,43.7031
6.28017,43.4062
6.28538,43.1172
6.29058,42.6719
6.29578,42.6484
6.30098,42.2891
6.30619,42.1875
6.31139,41.4609
6.31659,41.0000
6.32180,40.6406
6.32700,40.5547
6.33220,40.1406
6.33741,39.9141
6.34261,39.3438
6.34781,39.3125
6.35302,38.8828
6.35822,38.6484
6.36342,37.9531
6.36863,37.6953
6.37383,37.3516
6.37903,37.0000
6.38423,36.6719
6.38944,36.1719
6.39464,36.0312
6.39984,35.9297
6.40505,35.5547
6.41025,35.2656
6.41545,35.0078
6.42066,34.8125
6.42586,34.6094
6.43106,34.5469
6.43627,34.3125
6.44147,34.0234
6.44667,33.8359
6.45188,33.5234
6.45708,33.1797
6.46228,33.1719
6.46748,33.0469
6.47269,33.0469
6.47789,32.8125
6.48309,32.6094
6.48830,32.3359
6.49350,32.2422
6.49870,32.2188
6.50391,32.1719
6.50911,32.0469
6.51431,31.9609
6.51952,31.5938
6.52472,31.3984
6.52992,31.1094
6.53512,30.9375
6.54033,30.3906
6.54553,30.3906
6.55073,30.0781
6.55594,29.9141
6.56114,29.6328
6.56634,29.2734
6.57155,29.0703
6.57675,28.7812
6.58195,28.4453
6.58716,28.3984
6.59236,28.0391
6.59756,27.7188
6.60277,27.6016
6.60797,27.1406
6.61317,26.6328
6.61837,26.3516
6.62358,26.1953
6.62878,25.8125
6.63398,25.4219
6.63919,25.4062
6.64439,25.0781
6.64959,24.9453
6.65480,24.8828
